,AGO,ARE,ARG,AUS,AUT,BEL,BGD,BGR,BLR,BRA,BRN,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CYP,CZE,DEU,DNK,EGY,ESP,EST,FIN,FRA,GBR,GRC,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JOR,JPN,KAZ,KHM,KOR,LAO,LTU,LUX,LVA,MAR,MEX,MLT,MMR,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SEN,SGP,STP,SVK,SVN,SWE,THA,TUN,TUR,TWN,UKR,USA,VNM,ZAF
AGO,0.0,0.20095912581096767,0.19152040723931804,0.20379725165606707,0.1935432039250051,0.2051562293879927,0.2227916247846206,0.18906376350117798,0.22066642890285446,0.20510748350270364,0.33184394354433544,0.19753463213521,0.19984477705559578,0.19730672658096082,0.19750963748032924,0.21033602670225965,0.20679132977106365,0.19440795294676058,0.1956120570850647,0.206339745832614,0.23018977432623708,0.2003976471710965,0.20537733215974682,0.2023439143102299,0.21776929871158088,0.22902134303177027,0.20467159152523315,0.20192039854062063,0.20032726408653176,0.20282916354089822,0.20462679030451403,0.26106761146303664,0.1917836115585234,0.1950941513487665,0.19948642394344562,0.1956501610879119,0.22245868332592875,0.22423671700567788,0.2062692061855382,0.19965143011817868,0.2029777766037154,0.20625114691960214,0.20016325953011602,0.4046589593054809,0.21162007910933475,0.19658818051194568,0.18960259483744704,0.487276137834903,0.20394584687425285,0.21959304263760643,0.19616166963334553,0.24512634957029458,0.29270721067812433,0.20649276376549708,0.25367151822598905,0.20811013055449237,0.19703951268740746,0.1965324411625892,0.1914736343015321,0.1990783907517719,0.22876455697247836,0.19766130034870746,0.21226460225779545,0.18148500141968107,0.18843484682216127,0.21208265725756836,0.21198519819383263,0.2343996756700932,0.26913472409586375,0.20042580348100272,0.20423614592315847,0.20367047583877948,0.20234088821425153,0.208617988185261,0.19117317264340242,0.21857402614929872,0.20107964575740928,0.20306216597366025,0.19920221446392908,0.20056768124574423
ARE,0.20095912581096767,0.0,0.16328286195474634,0.11820575250902671,0.13804323624077317,0.12382132083681942,0.19838811705469736,0.13437819715564356,0.2075882134552654,0.11835250693714716,0.2434022650397738,0.13947582390885746,0.15419024680324714,0.155280831392027,0.14742870147773662,0.15773390084182773,0.1712306369544646,0.18456255980027714,0.15592184331613873,0.16016146793867292,0.16313002451959516,0.12400027110277632,0.14326652850848962,0.14644447666248012,0.15996030927584728,0.12043344209782703,0.15142240136557666,0.1346447965441,0.12766791628458488,0.12324630940681916,0.15437771598869032,0.21647057654146631,0.12308294926931039,0.14536494558598675,0.15712084147876917,0.13578031173169117,0.13532768642053236,0.16528386709790427,0.14456222949318812,0.12616680917815687,0.14545753013021331,0.14675269273157668,0.17148057582451273,0.39129947474856414,0.1535530836213947,0.20767614225926137,0.13185745043044267,0.4596733310950189,0.13616820359712228,0.1969493891994424,0.13682697323257104,0.20903579377837053,0.33055425132714944,0.15795134928285773,0.2403654326381841,0.1236616376349477,0.12640954354352685,0.133713365031069,0.20823418353193832,0.14684459673720632,0.21261353358844712,0.1305909603965486,0.11898747930831571,0.17174023604221708,0.13424847816918167,0.142615413873363,0.16841962858974852,0.13551477290843084,0.22916023491548054,0.14890146464924175,0.12016987026993992,0.1437376383156486,0.1567466367709486,0.17929947235892196,0.14052678364995025,0.16195496832457293,0.1838480043910476,0.14542766967448087,0.18971194449244658,0.14070628934723084
ARG,0.19152040723931804,0.16328286195474634,0.0,0.11248202249346054,0.11338372829112142,0.10558311695734232,0.14175097637811987,0.09058542045461794,0.09690404391563008,0.10212772098845148,0.29329588833648085,0.09938858338971988,0.1210004639531209,0.10538214085346496,0.08868927454504048,0.09954297689417271,0.09271734545603703,0.1038970392430911,0.06119396298253684,0.09326575527334158,0.14924792631147954,0.10779813590057091,0.1135414462296755,0.09980561093867778,0.12126967647848563,0.14797350182269017,0.11036752413578226,0.10831861615036663,0.10533500504741006,0.1194286615214076,0.11253826622901146,0.216251704765012,0.09353931783471811,0.07702440503564445,0.08480165694397113,0.07612032641623609,0.13363587883266614,0.1441054443998866,0.10821830004321602,0.10215178057039252,0.10120302103103197,0.11209168924910358,0.13984353632327012,0.36860958771339597,0.11064639723165351,0.13423383224112187,0.09056828011344559,0.45214995213359316,0.12062820191514573,0.0904188678525692,0.08759966067586891,0.19698409994084565,0.2613386788985543,0.09289932895148102,0.17361101379052943,0.11502047363661087,0.11100412356640225,0.09313478864937084,0.12360830500452857,0.08661580330235213,0.10609243086900592,0.09050281165073067,0.13094186639353916,0.09497168944114721,0.10258058995836893,0.1270758332892246,0.07367085251597014,0.16703061482153386,0.20829508197531613,0.13453322496818607,0.11759622376543587,0.1141849977756841,0.08700275122517245,0.08384194270792363,0.0945925953158756,0.12851519057680588,0.10147713949117565,0.10586354441673786,0.09571373511646855,0.09798889131517834
AUS,0.20379725165606707,0.11820575250902671,0.11248202249346054,0.0,0.07456612367079794,0.05971860184527856,0.15869443609320613,0.0785353460331753,0.1603807943935381,0.11201134094935015,0.29479071805675555,0.08064306741689571,0.09481498611541099,0.09693467876870404,0.10181435093401837,0.1167421754773759,0.11852626112596232,0.14481985805385025,0.10059903682702769,0.09967433600521414,0.11180588452845225,0.05888187865646706,0.08218956386464864,0.08628339355226447,0.15468588667877814,0.07775114761376054,0.09349715609193351,0.08033781496124691,0.05525555965344417,0.04721900664613447,0.10034822678676322,0.1850481101037228,0.06000706535869091,0.08394615787926,0.1069469557284038,0.09053705094269923,0.07517690994365399,0.12149693709567655,0.08515989992328864,0.0595680725221824,0.09825518820068437,0.09345894817994939,0.1322255252822764,0.3753463951489208,0.10615619097552781,0.16594712476560905,0.07616967860558312,0.42716814567521144,0.07785189176624187,0.14990907186398042,0.08944042736961096,0.18085462921278636,0.30041744796429065,0.10876102941144239,0.1975665174922772,0.044435051912579605,0.07438892148907303,0.06359768759162836,0.1657825507560041,0.09385268913078962,0.16733337670911444,0.06616901872500454,0.060327571424060436,0.12277188500445024,0.09962031373957166,0.0968532826974149,0.110143793357511,0.13116836052024214,0.18341355383856375,0.10400739126114865,0.05540612057180329,0.08775070657640978,0.11272345403224493,0.1313871448024156,0.08775376122778719,0.1221948862733577,0.13649937699721681,0.07906268263724202,0.14877136901129487,0.0850987865614922
AUT,0.1935432039250051,0.13804323624077317,0.11338372829112142,0.07456612367079794,0.0,0.0645739045122894,0.16173600274245561,0.08865698192655912,0.16585460246080544,0.10317327977065677,0.2948711110555722,0.06915299639820052,0.05967655489919006,0.06913179844501142,0.09155717219014234,0.11174359847897092,0.1221936830377669,0.1518105705818081,0.09427300361818337,0.100942603368927,0.12450294759854652,0.05499564466915315,0.06309346441236012,0.07599280495023239,0.14968712345366547,0.11848743920115096,0.08475385745018488,0.06855258942054769,0.05776168014395281,0.06130958409054238,0.08783357685114343,0.1791750456423091,0.07032178483649067,0.07655562429954649,0.10637642799723902,0.09956517286009763,0.10820872693925744,0.11967342054043074,0.07207819595153092,0.05721193973077635,0.09831868106246291,0.07589975254345245,0.13265220528412558,0.36960124291953395,0.08955945384483936,0.16280858086035851,0.0757952166600394,0.4324705382841048,0.0859024249780892,0.15121646378367049,0.08371896473580333,0.15771423953885946,0.3091567302428365,0.11538802180744906,0.20216548998006922,0.07450381915268334,0.08143550357754739,0.06984932329395403,0.15009187776795802,0.0987600763188442,0.1682224076196833,0.07000127311999917,0.0875132552845535,0.11521973437018396,0.08243531931301659,0.10907810372226451,0.11790433374782784,0.1340284661714911,0.1865525475835824,0.07193941587833266,0.07170484086026267,0.06123893071925331,0.10023195712520225,0.13353279964481227,0.06738025540529811,0.10859114550879045,0.13625242936260354,0.06950450499064635,0.1507491743018742,0.07698042641495617
BEL,0.2051562293879927,0.12382132083681942,0.10558311695734232,0.05971860184527856,0.0645739045122894,0.0,0.15655512845112488,0.08056841458161484,0.16000811788820005,0.09352229452952411,0.28840759469069677,0.06345144170502498,0.08130765951228193,0.08246986921574981,0.08735823748476126,0.10561907639653499,0.11401491812761982,0.1462666809829852,0.09496467793596375,0.09097503874212128,0.11719250808352154,0.0545215951443895,0.0616964176618222,0.07285403215372181,0.14959829548997275,0.10132626975986869,0.08078257916272162,0.06612732550423027,0.04418196589314316,0.053050709864073634,0.08860669910031804,0.18191898171872892,0.06383198482489526,0.07024136060753981,0.10180676027909641,0.08961574304676197,0.09421047014494757,0.11337531609938131,0.06052084164306803,0.039958042689619916,0.09360362272992331,0.07386138353074626,0.1299640577581059,0.36701253337178774,0.08715708830523551,0.1709972943935734,0.06895345832744272,0.43321608886349317,0.0827230357596389,0.1470188731549683,0.07499028196973441,0.17922264949972988,0.30853731167988985,0.1104209418612606,0.1956079871991729,0.049735956101971866,0.07206805409945788,0.07232072080345414,0.1702290470958247,0.09038736105306579,0.165918047249549,0.05623801266860653,0.07892245255767613,0.12667609003402652,0.08983549453271349,0.09743316691545158,0.10385237864699357,0.12477667667372742,0.18711911077376647,0.10205685140683025,0.054886686192882964,0.0697110021242277,0.10176231151744676,0.12687206280316293,0.08636644172041007,0.10302487421203457,0.13073101973273596,0.06231844737384474,0.14916582180791307,0.07356599242570398
BGD,0.2227916247846206,0.19838811705469736,0.14175097637811987,0.15869443609320613,0.16173600274245561,0.15655512845112488,0.0,0.12773725642710315,0.15124670981256716,0.16510083023640726,0.32675942381097767,0.1576286008913256,0.1732347156207985,0.1620388787154655,0.126615470751446,0.1468124023004293,0.15498935451324988,0.16421450033379237,0.14667148448033931,0.15334397840370154,0.18189222566733462,0.15649363783258907,0.16435201419605672,0.156140812731654,0.1878121754867274,0.18182448218167213,0.1554534780329967,0.1585790445414676,0.15514206919860254,0.1638285974545485,0.1573791261355579,0.2343072210746594,0.14650640067316867,0.1447213114651904,0.15001774901048484,0.13482323126907395,0.17880912239234964,0.17576413176772884,0.16349293311762972,0.14359953782574628,0.15391732399804564,0.16339140088523696,0.18104282007228004,0.3744328711865896,0.1594499180145348,0.16198050060009697,0.14044821044996617,0.46564483389550576,0.1612191884490918,0.1623129022310097,0.1537312110442608,0.22680893712574582,0.2472265359089359,0.17393005165590622,0.21070640284080336,0.16405423396687863,0.16314207660005178,0.14990598657086185,0.1567816973364738,0.14468827834755627,0.1749812893657367,0.14849213936808422,0.15824427264594798,0.13827114360726858,0.1626071714840604,0.17625352271761852,0.1471531217085468,0.1999071210186491,0.23564330429104757,0.17799754624837716,0.15257108118757656,0.1629185109690321,0.13437174811596977,0.1157683219914383,0.13811957445537576,0.16989135303087052,0.15344405397149713,0.16182890886127857,0.09144431138738542,0.1580658901800744
BGR,0.18906376350117798,0.13437819715564356,0.09058542045461794,0.0785353460331753,0.08865698192655912,0.08056841458161484,0.12773725642710315,0.0,0.12450095038685968,0.10720366867498868,0.2950496855302723,0.08963815335224938,0.10864550727362658,0.09811317693676136,0.08142134232758791,0.09416290446724457,0.10617959549873246,0.12301214191569541,0.0921552653020994,0.09923656662171086,0.12792371525885265,0.07596611112559645,0.09661718949828546,0.08968246476298744,0.1476990135894038,0.11054897545366146,0.09402110092188613,0.08270731367055345,0.07812967821049975,0.09003797104618515,0.09806246164378418,0.19659895178121523,0.06111976017510549,0.07041164788363342,0.09670809665830903,0.07201158153425341,0.11224391541661202,0.1258970598418653,0.09749178271104351,0.07356221872782281,0.08537770824301665,0.09472530341158977,0.13078597734463437,0.35297740986239473,0.10333731468605106,0.130036000543407,0.06013591029892908,0.4500549166077328,0.08808599327968307,0.12495258373691746,0.08663491520156066,0.18524627855919235,0.25443958678343115,0.11582320863187666,0.1739357911347292,0.08960514642599883,0.09232737988182943,0.07810609571417151,0.12831028783057805,0.09152878635269239,0.1437995736561606,0.06158586618253136,0.09369247472651872,0.08010369268168253,0.09198656058545727,0.11284944141392915,0.09514341485363742,0.14497085955407862,0.19944641414811842,0.10872020430059773,0.07926495773107008,0.09231565958851234,0.0963207448057979,0.10699177339765735,0.07885110572620212,0.11845575745664488,0.09477633778687175,0.09728067878482934,0.10922203354782455,0.08765779901036537
BLR,0.22066642890285446,0.2075882134552654,0.09690404391563008,0.1603807943935381,0.16585460246080544,0.16000811788820005,0.15124670981256716,0.12450095038685968,0.0,0.15857927244352021,0.33182781050241394,0.15630460837903123,0.17375408638749948,0.15380351318064478,0.13958371067069278,0.12492374199482337,0.12203224761141881,0.11368702138728255,0.11544092787632661,0.13485307488936896,0.17947273957801796,0.1552373439718014,0.16509202175723264,0.1511148312783891,0.18043219931788868,0.18131786868452432,0.15806229755075216,0.16066923203628072,0.15575723551093826,0.17227918280447763,0.15682127505485297,0.24793872407216894,0.1381169150380314,0.11728981187927053,0.12553323411495632,0.12975800799382842,0.1699158130734921,0.18368188525795295,0.1652823906196234,0.15620924861885951,0.14499754702674794,0.165379306076255,0.1895326862843776,0.38799582338941707,0.15932515126131597,0.1344579226065032,0.13526759467319582,0.4695395709452372,0.1633313765671367,0.08175512624962136,0.14856046488394137,0.2294168831235296,0.22878582616611137,0.1409208783897364,0.15818061621357013,0.16420247334058147,0.16512803326184308,0.1365317621304551,0.1312038410943997,0.1411555863749009,0.07708988599335397,0.13470733934218135,0.17046280721156967,0.10576928720764374,0.15846193723425217,0.1844988788944289,0.09845940194747792,0.208468144484592,0.24158978758710933,0.17574835884472728,0.16513968801893972,0.16694466745560713,0.12834822924143338,0.09813488604456469,0.14008632406802132,0.17845097530609663,0.12237437874296525,0.16385870089510735,0.09693206448287461,0.15148088026263656
BRA,0.20510748350270364,0.11835250693714716,0.10212772098845148,0.11201134094935015,0.10317327977065677,0.09352229452952411,0.16510083023640726,0.10720366867498868,0.15857927244352021,0.0,0.2387447721264147,0.09472958704500899,0.11347442454640388,0.10853019251916067,0.09887867389957646,0.10760347229209961,0.12359094406848102,0.14948557154960124,0.09709573183123195,0.10869113137527485,0.15021512213552163,0.10491197585613109,0.10004569425771227,0.10233989466485018,0.11698036368242071,0.14676904649170452,0.11414003019021307,0.100806494685008,0.09834784013259223,0.10929380493911886,0.11634526128683008,0.1967544256896313,0.100273262692285,0.09054490043275064,0.10914424808255546,0.09444685672540844,0.13907059671194572,0.14416404905535016,0.10106515734557865,0.09439018125358034,0.11136788524713535,0.10430476003885689,0.14362682057466,0.37860518690938827,0.10731872005375154,0.16701018721467195,0.09207050637793425,0.4436470131622124,0.12491931431456617,0.1421157215738937,0.09137854363094114,0.18991932722354948,0.3043061106925323,0.11263245036730178,0.20537803093408386,0.110653996539224,0.11067476403968311,0.10808264722678215,0.16167579620001787,0.10205267281236557,0.15650934839327796,0.09442604769439795,0.12800562592311376,0.13329387248244973,0.09907542197563927,0.12289950649264525,0.11915802335737395,0.12848592826093408,0.20358901347414954,0.12364698990828789,0.11310355959001205,0.10568758956560757,0.10120852503060725,0.12589753709888146,0.10220603161167317,0.12077209343506055,0.13982336610073207,0.10025372248176988,0.14449251441636954,0.09312367623424786
