,AGO,ARE,ARG,AUS,AUT,BEL,BGD,BGR,BLR,BRA,BRN,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CYP,CZE,DEU,DNK,EGY,ESP,EST,FIN,FRA,GBR,GRC,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JOR,JPN,KAZ,KHM,KOR,LAO,LTU,LUX,LVA,MAR,MEX,MLT,MMR,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SEN,SGP,STP,SVK,SVN,SWE,THA,TUN,TUR,TWN,UKR,USA,VNM,ZAF
AGO,0.0,0.5791988423901732,0.6229008675778617,0.623586133622505,0.6254937948605412,0.6532566355614786,0.6594749505333823,0.6322789526048933,0.5971376065374361,0.6035279278019406,0.7199581932142448,0.6216168116579643,0.6492449215104557,0.6427870432833711,0.6476329301565663,0.6693922791549978,0.6764036349957818,0.7327755646969586,0.6398004576428603,0.6327654818406547,0.6931874437635844,0.6322156545912265,0.6555028380806524,0.6582090157328327,0.6959110537344292,0.6300054978340687,0.658782069124775,0.6439759606309026,0.6243212644056888,0.6159842978909725,0.6430563361863885,0.7135114494070308,0.6067781423820653,0.600529041660269,0.6358154201354956,0.6473560128249574,0.6671817685267571,0.6418173723239595,0.6725688700423625,0.6445429844413993,0.6547404000750805,0.6743532791400443,0.643545909254504,0.7725236715391605,0.6622683182100153,0.626664409855871,0.648732259306318,0.6962712461411525,0.6647573620047758,0.621278942647593,0.6149018247451218,0.7050654420250558,0.6691315256166,0.6262816766338783,0.72176801687912,0.6179020915154435,0.6337290639276867,0.6137746434369069,0.5879085513593063,0.6293030229631195,0.6276918183197243,0.6224144170463685,0.6126879004777106,0.6380841428236848,0.5939276220086246,0.6487686144577137,0.6488399056751019,0.7186970363445554,0.801909115663183,0.6143876762540585,0.6599755888179448,0.628362607095867,0.6364937181836414,0.63564574458236,0.6197788194413613,0.6628617454156998,0.6774750689820898,0.6215128142042373,0.666120668335718,0.631622141541199
ARE,0.5791988423901732,0.0,0.5395148381894727,0.5002474708250767,0.47260592003349955,0.46552897206744104,0.630308353114689,0.4897892241771563,0.4638375379014374,0.47977706759489225,0.6835374912042285,0.457752721132799,0.4945305844861482,0.5360886342305131,0.5609517796070753,0.5908435398133184,0.6074152541823893,0.6714460350329946,0.5383931618816866,0.49180998804388776,0.554341605129453,0.4614073682545831,0.4698879955903899,0.5160507907294021,0.6235868552097907,0.45975601070321176,0.5129986796499441,0.47842332168969676,0.4619308082174301,0.44247671374711006,0.5280337878902714,0.5743043300669219,0.4680348773756707,0.4262391767474429,0.5001778802920877,0.5784707327650223,0.5532388639407424,0.5317157208180351,0.4932924183401992,0.4670562477291249,0.5385539288900933,0.4947064901929604,0.6037940425219805,0.7692019706311615,0.4939162662837264,0.6781011624613377,0.5167268019256586,0.5660045628362588,0.5507270792565269,0.5703474592894974,0.5115354180068175,0.546333697122266,0.6278865336053736,0.5255137419803189,0.6851013138048783,0.45978225006514156,0.46800586313455556,0.5026293905960374,0.5495969926281355,0.5142898515192583,0.561736887886799,0.440532704411322,0.4444565057995426,0.5340634300124617,0.4261621775932935,0.5558646637273041,0.5937977951911995,0.5265205966077866,0.7634543251808704,0.4482019878253346,0.5007216974099148,0.4663806619242711,0.47473780952198774,0.5660825933718566,0.48538583405205743,0.4523292397496536,0.6141754866856736,0.4681917577798819,0.5913530817515079,0.535642254423317
ARG,0.6229008675778617,0.5395148381894727,0.0,0.456112159573888,0.4482624369345365,0.4700956461092764,0.5326285066293371,0.5000891572097521,0.4352759078160026,0.3933363717603363,0.7782433246084479,0.4604866575500053,0.4934603900300079,0.5206577789681339,0.43478672903284654,0.5998247932777898,0.6006825299986939,0.532845288893288,0.49791513590884456,0.5326280135574772,0.5987338518701601,0.472540206469046,0.48998350912215993,0.532856715496651,0.5588075846159823,0.45558805977939665,0.5285710030091634,0.4973976868808558,0.5135360617701697,0.4607059172215505,0.5448326767925344,0.6832139636210219,0.4845566557527661,0.44381730180967494,0.4987381207012197,0.5046417414453765,0.5696286414586592,0.5561371566456449,0.520878882538234,0.4429893543041753,0.547682347933707,0.47068145157291014,0.5322666447982516,0.7077605406342486,0.45750675364505,0.698045567219292,0.5214381082072127,0.6043243485427281,0.5298606413967953,0.5225767307003721,0.44300823407786555,0.6207103918233053,0.5324876918088616,0.5016028592797119,0.6659953761710952,0.4816178389460117,0.522679960967972,0.4957431789170841,0.41024607341264285,0.4258368015806467,0.5572659205187506,0.4620424793922598,0.4716866167840196,0.49071595421828523,0.4311137005652247,0.5326223635282052,0.5364030376238208,0.6190235458338196,0.778302671762889,0.48081012354270497,0.4989419479088534,0.4665164296949727,0.4922715994652059,0.49996866405110096,0.3995712428877844,0.4846783193685058,0.5171966870444579,0.4194623007921899,0.5144587067253594,0.5066428006412113
AUS,0.623586133622505,0.5002474708250767,0.456112159573888,0.0,0.44165746799047595,0.46220367651193806,0.5399517377647599,0.47534423843181184,0.49001716931006495,0.4206384467235851,0.7582975946303332,0.4237477547729869,0.5023006758175312,0.46814014350839234,0.5286493759553856,0.5890645395074376,0.5787116352259954,0.512378614772407,0.5135602527192099,0.501625426178727,0.5795995426747428,0.46404485107317994,0.4746176029774693,0.5364221489044555,0.6026033445511805,0.43780779125464414,0.5160697847440279,0.4843036319677541,0.45268658162012426,0.4215830959446059,0.5265106011942856,0.6312023389991952,0.520360786075594,0.45295901877472183,0.5176549652462229,0.5469785544233756,0.5349754902078758,0.5413342375112833,0.523977642143536,0.4555341071475675,0.5755318246954291,0.48783374470608176,0.48241541677437566,0.7110021563841991,0.5140052352570474,0.697099936052487,0.5342402062498707,0.5748386786169586,0.5142021983887753,0.5458884552894562,0.46911701962857033,0.586507914471689,0.553780508852151,0.518758919049113,0.668162678866623,0.45768632626462424,0.4858044496033888,0.4262747631755847,0.459711221488906,0.4429561865640155,0.5288067592871075,0.443382219022461,0.46005917728529466,0.4800833958028662,0.4401043008184852,0.508841490189556,0.5199020741339656,0.6216630200614093,0.7561072392900092,0.4640572432112356,0.4625320279588643,0.44323913066238696,0.5304723658284121,0.5186894510210415,0.4431849454538828,0.5245474021857379,0.5507982731345269,0.4248010100569395,0.5468457252901486,0.49095895464729183
AUT,0.6254937948605412,0.47260592003349955,0.4482624369345365,0.44165746799047595,0.0,0.3808267164463277,0.543698048999634,0.4509664241027466,0.4616459979288714,0.41889335794474675,0.7769978140395076,0.4233274935275003,0.3696605682157064,0.47217478768755444,0.5121712645739152,0.5682833001692496,0.6126024158159652,0.5896101207637927,0.498638019002351,0.46306475613899284,0.521326380713243,0.35838878707934985,0.3754043184505941,0.4683313895138473,0.6352397053342138,0.32717383928379695,0.4115953347890771,0.40448125824305403,0.36524119577941516,0.3685251064236662,0.5110070405152196,0.6105225252609372,0.4517334334253617,0.36198716030898925,0.5336683383774034,0.5678664326214037,0.5314868241921736,0.49323206385953267,0.4615933676843027,0.36158501151232025,0.57067474429011,0.45966476662024675,0.5467782140143228,0.7219763297160533,0.46389995503776293,0.691274360832939,0.46357770051873637,0.5287720055986316,0.41288635446782734,0.5423101801774329,0.4619960455747832,0.5246765999397394,0.591894107912874,0.5118238572397212,0.6712206185255714,0.3866451483910297,0.44943556447407507,0.4316940070982339,0.47015930394712024,0.47264800977478433,0.5404891176397156,0.3571290663802481,0.3360161639886171,0.46969121294377075,0.40636125654729033,0.5531057183307743,0.5270298286653397,0.566305809993499,0.7554900023790648,0.3639231741198446,0.3743333106182384,0.3614587462158401,0.5093177184936127,0.4902197847561584,0.3904447696980293,0.47203461133435864,0.5463456156059671,0.4142824639951869,0.5717658572384746,0.5088599006545351
BEL,0.6532566355614786,0.46552897206744104,0.4700956461092764,0.46220367651193806,0.3808267164463277,0.0,0.5629569109332562,0.46496936212513124,0.4674562198732661,0.43461627967170524,0.7721417267020817,0.44002225084566227,0.4209986493526537,0.5032467248261674,0.5389873995015221,0.5700765545357561,0.608072168491325,0.6093253990384716,0.5094141195390224,0.4590136425576927,0.5127345916879813,0.4039728769646359,0.3557073342070413,0.46627723321067494,0.6171432132368352,0.3598588513936817,0.4500044575394394,0.4326072490878489,0.3811554664887568,0.37695513327204794,0.4886313490768163,0.5859578195739219,0.4669529198189291,0.3859472214080268,0.5556635610604038,0.5737513877266552,0.5555978246515388,0.5048729487585137,0.4278876270992392,0.3844560942421652,0.5600364193978036,0.4545705239778858,0.559284052208997,0.7169931481103674,0.45981954547893567,0.7194017687229506,0.48121137835497096,0.5241997123995501,0.45624337984723057,0.5460795108984836,0.485290421064281,0.5491936621850029,0.6051965097024617,0.531368203268459,0.6824454906510696,0.38339158114402855,0.4753906448216334,0.4640974409881023,0.49740990154917303,0.4779822874268635,0.5794300095953625,0.41581195331539117,0.339117446526746,0.5225181446448889,0.42784693181883576,0.5436642408988889,0.540521798291254,0.5138111459509718,0.7712733321105022,0.41568300833340105,0.3919353092301691,0.3982081102925339,0.5272785453820882,0.5385266399630988,0.4152655646163119,0.4710496826739286,0.5807692622082438,0.43256285014102236,0.5750633219112774,0.5272678178706436
BGD,0.6594749505333823,0.630308353114689,0.5326285066293371,0.5399517377647599,0.543698048999634,0.5629569109332562,0.0,0.5676428929541326,0.5045683468045481,0.5341173048948316,0.7939311533708638,0.5279654652554505,0.6162699555911988,0.6049069508114073,0.5514919334102724,0.6604616791288856,0.638141403449554,0.517145348663097,0.5932555602181563,0.5989922241096609,0.6085205581538807,0.5728110910420965,0.5798582825936783,0.5849174567947085,0.626791793444193,0.5428134404932815,0.5659089389371994,0.5655891786788627,0.5710784691590958,0.5582105872821765,0.5939062619840254,0.6705680006788355,0.5863186681054192,0.5546742950438801,0.5998988653466062,0.5958907446866438,0.627587767196642,0.5726985105878072,0.6157114643462468,0.5671773486049789,0.6091334000699468,0.5717249565314474,0.5570454489245132,0.6539149438844538,0.5714607753966452,0.6737013512747416,0.6119970486922504,0.6411179798655102,0.5614886953128674,0.5714074108681451,0.5726789769691932,0.6442703256023657,0.502379073849846,0.5757949037572246,0.6948639634709732,0.5830311349117163,0.5688589947963998,0.564969955759266,0.4369589011535711,0.554314209047273,0.5898800399642696,0.5648878873223325,0.5580122009124329,0.5726921628915208,0.5304216198449357,0.5986117027426585,0.5987971295616659,0.6783649678588229,0.7667927288182924,0.5791295816164402,0.54905881679636,0.5593867680604878,0.5815749210476087,0.5721828639731947,0.485079003619252,0.5992451898879503,0.5828574375939233,0.5623994058134446,0.5806787477996731,0.6196677507062343
BGR,0.6322789526048933,0.4897892241771563,0.5000891572097521,0.47534423843181184,0.4509664241027466,0.46496936212513124,0.5676428929541326,0.0,0.4626944430587843,0.4788129218910515,0.7479189373862366,0.4583603572412794,0.5139344489922981,0.5439974867711167,0.5356995267866003,0.5876474051435231,0.623979708601098,0.598004975047841,0.531890970756004,0.5059317889845425,0.5870405219718373,0.435209495504328,0.4577679936763166,0.5446032561145687,0.6365148696921659,0.42746925524441065,0.49542865989501145,0.48838811047107333,0.47490353535677776,0.47211112999269406,0.5248169270910854,0.6505667183755869,0.4879853671181362,0.4294082092203513,0.559478841248611,0.5498405350854904,0.5747207232974054,0.5323085373715023,0.5336515147568965,0.4510934423180685,0.537354846386608,0.4759948761164938,0.5581256196921578,0.7079796781840529,0.508467045385961,0.6666098574794982,0.490593086961558,0.581933586689131,0.5026006513218596,0.5189787431022057,0.5221061970513993,0.5937942304786337,0.6011668986285581,0.5298799504852548,0.6793734717139588,0.4896919228829998,0.5432897397673473,0.5066805326929849,0.4963416480820681,0.5144041515822488,0.5366609295860677,0.40490674473718363,0.45566607556105954,0.4752961120826989,0.4389886139042843,0.5553490306231674,0.5349977575198919,0.6376848632135717,0.7484841770977391,0.4325565588946261,0.4462960084450467,0.4397825503482459,0.5270777331681231,0.5563063498600201,0.4595499136074588,0.5156656922263526,0.5516726326551975,0.4952033976535455,0.5839344026392277,0.5028866268412355
BLR,0.5971376065374361,0.4638375379014374,0.4352759078160026,0.49001716931006495,0.4616459979288714,0.4674562198732661,0.5045683468045481,0.4626944430587843,0.0,0.4279020212459587,0.7350497839605771,0.4571799894231438,0.5157318487439786,0.5319229760218541,0.39069332738019585,0.5738119101911301,0.6167590516180526,0.5786440017590324,0.49911941815977834,0.4924471832473918,0.5516579806852084,0.45273524591915126,0.4667312246306861,0.5275920486776212,0.545000274380816,0.4123385580882134,0.4979335341402871,0.4619556750215897,0.4868128927507147,0.46967003355722514,0.4828566100010791,0.666967790720863,0.44696159235304517,0.40890585777245964,0.46224012327965813,0.48650875352112233,0.5664328849419688,0.4849813748894623,0.5340507608049556,0.454601619040623,0.45463147588321506,0.4442769082026347,0.5642950166026874,0.7043279556969458,0.39890191104237893,0.627812626776318,0.47925383719761605,0.6051874552810765,0.514075126234005,0.4463028818902297,0.47248875660581763,0.6186846059810918,0.4969950196890581,0.49395774419874144,0.6948808157994325,0.4959044720376331,0.5065815964480654,0.49167989830226605,0.30501191928496585,0.4576615421423317,0.5101656251831778,0.42264458340289335,0.44802109365666576,0.48026690826548535,0.40173748442651713,0.5691848968282295,0.5446300160004116,0.5929759161255742,0.7720217208446614,0.4437268663449649,0.5053402759425212,0.4485000629852796,0.4158252559353472,0.5187251266054373,0.3757551908272197,0.4315018038452797,0.5209108105391171,0.4769203855493409,0.49200604769353967,0.5134890981223417
BRA,0.6035279278019406,0.47977706759489225,0.3933363717603363,0.4206384467235851,0.41889335794474675,0.43461627967170524,0.5341173048948316,0.4788129218910515,0.4279020212459587,0.0,0.7463986995071262,0.40388689930965865,0.47039422551111626,0.48593728951890053,0.4579681009004174,0.5537363545481273,0.5782010406359013,0.5400186257571817,0.4581075803772199,0.47278780214956173,0.5877595574618187,0.44773980554095205,0.4411016700419629,0.5148378417489058,0.5845113912369294,0.3967257939675862,0.5040318924797583,0.4510871561832958,0.4307126806500409,0.4074923512831572,0.49720360379126904,0.64327916270464,0.45730630086051344,0.40019309928091557,0.4747532347942117,0.519293040860354,0.5437191346322187,0.528262089636732,0.4951250881831686,0.40849278996665667,0.5450727224326073,0.431758613070478,0.5112245373237736,0.7191332489413769,0.441688167391026,0.6678023967714493,0.4872951925309749,0.5737668579586049,0.5090235064674666,0.477540543064574,0.4150660287637139,0.5900021810889967,0.5426007643078216,0.46635858840380645,0.6653426804360472,0.4334540288390992,0.49039869543806125,0.4621255747905071,0.4276333528421993,0.405400199134422,0.5124189956232346,0.4121602806651886,0.4077689433514765,0.4873525756606974,0.39898046956559674,0.5152337165450404,0.5123962592321839,0.6021070845969664,0.7588915947889919,0.41468905314568844,0.46388326423743764,0.43951878974273245,0.4564841083918334,0.48435127792602145,0.36158184772981533,0.4356804265867572,0.5318172416660921,0.40474581832875345,0.522811346697483,0.47977372393867745
