,AGO,ARE,ARG,AUS,AUT,BEL,BGD,BGR,BLR,BRA,BRN,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CYP,CZE,DEU,DNK,EGY,ESP,EST,FIN,FRA,GBR,GRC,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JOR,JPN,KAZ,KHM,KOR,LAO,LTU,LUX,LVA,MAR,MEX,MLT,MMR,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROU,RUS,SAU,SEN,SGP,STP,SVK,SVN,SWE,THA,TUN,TUR,TWN,UKR,USA,VNM,ZAF
AGO,0.0,0.6407151708497746,0.7051851726859992,0.7473779327585098,0.771097035312682,0.787035071171633,0.7415792421057326,0.7759464274352432,0.7162687308104311,0.7307188696798064,0.8670980441151273,0.7222626373949428,0.7969042455980868,0.7665398489491788,0.7716334346477868,0.7736536627569183,0.7457103823238512,0.8648056361213702,0.7344552555276657,0.7436023497166276,0.8221390336063235,0.7759697856537464,0.7817167720122552,0.7620462304607629,0.7435181203094299,0.7591188913569228,0.7615530220751515,0.7806901224679249,0.7672497407137687,0.7610884875455909,0.7607693741579167,0.8289938127085735,0.7414571888165091,0.7351303919676957,0.7285793636786376,0.7630001365808395,0.8330504107462358,0.801066866207842,0.7788475940981213,0.7686699898007937,0.774491801798146,0.797946417366448,0.7498011955562086,0.8322772872050748,0.8005982335340863,0.6930114568761073,0.7840284687857006,0.8800909972502536,0.7658207815679127,0.7341365438970959,0.7428000770552651,0.8469534049975855,0.7124491190010688,0.7448447667238782,0.7903134106219559,0.7603783079683046,0.7414212434420623,0.7361351982006555,0.6646039581578275,0.7427756862561066,0.7370141716121927,0.7638465710857241,0.7476107859171222,0.7329141274528681,0.7121610108862259,0.7200743090897463,0.732408723239192,0.8381999892446454,0.8554465452042966,0.7836787513225488,0.7975191464133443,0.7796148003026897,0.7440219404083411,0.7195634937791433,0.7318738035719674,0.8030634713487772,0.7363471347006855,0.7495949917765418,0.7638487292636651,0.7641663876248515
ARE,0.6407151708497746,0.0,0.6810137714313271,0.6377605764087255,0.6464032284889604,0.6312768831866322,0.743648617088958,0.645584214424636,0.6544946035579092,0.6024657234223464,0.7507818504857424,0.6355574521527217,0.6989313694130255,0.6914715508740626,0.6970578913008855,0.719825741665281,0.721442554204169,0.8444621519122989,0.62315016100537,0.6711404043115318,0.7113016671088499,0.6932152527159484,0.6736978817958701,0.675080716745194,0.6982338676602987,0.6432862625942204,0.6781921629904745,0.6410048078353092,0.6659049630973638,0.6361367171527071,0.6857832968880005,0.7430311862539329,0.6463941186096295,0.6339809999162467,0.6645855747441923,0.7014429424327165,0.7890164908847479,0.724340666485616,0.6697100531944488,0.6529376044635514,0.6356993622889046,0.7008364697640012,0.7252287595714098,0.8500299491642926,0.6919909615960964,0.7576546929371972,0.6973794229892896,0.8388636656383412,0.6851945681104309,0.7580239243286151,0.6366790910546808,0.755491212966729,0.8041468860472186,0.6573547740089886,0.7871705702896676,0.6396611619756535,0.6011809107039202,0.650097648388088,0.6888934028528156,0.667138281022015,0.7070983185463334,0.6401336037036759,0.6309729473481299,0.6654179639935248,0.5711695310961753,0.6585452786076629,0.7298476012771015,0.7119341324590747,0.8592867413417493,0.6593243415953381,0.681730841198066,0.6635416123996887,0.679455029464529,0.7603226599116001,0.6633688436322293,0.6897774580330633,0.7269873173658093,0.6672629739891404,0.710114811028907,0.7011701561886342
ARG,0.7051851726859992,0.6810137714313271,0.0,0.5957900478768744,0.5736156522930733,0.5553486131186537,0.6246231161158385,0.5759950446935952,0.4962849721529052,0.4373645263619088,0.9165257757204255,0.5369706776434308,0.628932427025179,0.5620782956298693,0.5314204955845677,0.6026207059797496,0.6154534041832259,0.7177443113995484,0.5011483200655228,0.5668208297264448,0.7267248347751261,0.5970493590963061,0.6070105821174423,0.6239642459421014,0.5639854920391709,0.5309303339380618,0.6281959524508469,0.6190025446344676,0.589150680131116,0.593963234650755,0.6024551884649725,0.7520427436621412,0.5608316511393204,0.5140276160107534,0.5660018946152783,0.5505875914330987,0.7412201810040024,0.6698234137753336,0.6154770118581825,0.5495091002787025,0.5710473655300037,0.5704165728660682,0.6586748018808458,0.7565095469272347,0.5676726037522013,0.6905789898420666,0.596058454935079,0.8193092746719978,0.6593477920366186,0.5640519754888715,0.5064676689199489,0.7805804214898775,0.6641091754505722,0.5631014244820662,0.6749470285948637,0.5742293635521837,0.6439543093160227,0.5503383341983769,0.4889735128642959,0.48495794192869773,0.5831956211020232,0.5478225804247022,0.5273953481773849,0.5396407969509961,0.5242240501725924,0.6214229641997606,0.5548052421124123,0.763911033714161,0.8002021227569678,0.6420125834973054,0.6143352317892522,0.621542642983536,0.5441773178633523,0.5856021622006622,0.5074761639117833,0.620605242637704,0.5606569779550483,0.5573573060675019,0.6128431321554697,0.5727037052620125
AUS,0.7473779327585098,0.6377605764087255,0.5957900478768744,0.0,0.459419714603733,0.44433162121922787,0.6343233794345203,0.48233282504570124,0.6274901470967532,0.5295487917094812,0.9083866478679612,0.4489605067751824,0.550092486630132,0.4768033476399637,0.6325122700348752,0.6499746232733501,0.6480512944382123,0.7242028200265224,0.5338294293896244,0.5082987523610536,0.6018641776211281,0.5154946303780359,0.5144866400675087,0.5390531922533931,0.6993305672883764,0.46860449561946554,0.5119201074947601,0.5179011732713333,0.4377742738333572,0.39433040855414686,0.6099499284414139,0.6630045036568599,0.4864638345048267,0.49701521548344474,0.6681728775268401,0.6209294009181564,0.7603196037451246,0.5718926355078379,0.5433620744589112,0.490984885773925,0.6111161253741628,0.5896657073594405,0.6079149732898336,0.7828852507033424,0.6318295383947244,0.7197115426205613,0.5765521337432282,0.7385440107010609,0.5089678983801438,0.6544466931163679,0.6025672110676492,0.6933420951854593,0.7492756437554451,0.6743148195566974,0.6948167282867679,0.4294718552557822,0.4823443441988294,0.42163728267458644,0.6087160319280703,0.5283567084509943,0.6498465646625554,0.47471937422451893,0.47257342214147174,0.5219900626159782,0.5585837490890897,0.6527453026473464,0.5574097949050933,0.6923756033688597,0.7629655256263042,0.5369200100037427,0.495095507166984,0.49103229392499076,0.6866685140317624,0.6271325171382144,0.5394302258965838,0.6782800282198707,0.6565577810373775,0.4916513699099074,0.678501076209929,0.5319262440251454
AUT,0.771097035312682,0.6464032284889604,0.5736156522930733,0.459419714603733,0.0,0.3707842207603963,0.6547590266706856,0.43056830141233554,0.5702649658585107,0.5041700803695526,0.9282058610015242,0.45610150567292523,0.45966899040674014,0.5101201141196436,0.5677311572341367,0.657476489508995,0.6935369277044238,0.7879201645319144,0.5414613915395498,0.5197650959555492,0.6067536918858841,0.3681378884139454,0.3600706040028102,0.5130908187569335,0.6779067958469195,0.35580275858353294,0.43584459230724276,0.41518530645332824,0.3686222731421716,0.36287611468577774,0.578596570156766,0.6489470441504591,0.4417379628394613,0.39136165178912835,0.6659152970801976,0.5923933280891225,0.7679176381753254,0.585735385102435,0.494152968993099,0.3445904811239206,0.6138983870401677,0.479808713637535,0.6958679210919738,0.7956584160134765,0.4925899549888245,0.7470399054614678,0.5341484906482091,0.7157808824802695,0.4616285084936141,0.6559867885101387,0.5564291883576137,0.6556613583512819,0.7799401718610861,0.6503917675420593,0.7239408371256073,0.397778816236051,0.5167813355650579,0.4282921704493527,0.5870343066932178,0.5652775270406527,0.6482553139300309,0.39807467294425036,0.3402852474491925,0.48152038931036384,0.4996970765566103,0.6762194812802362,0.621264680827101,0.6481878897446687,0.7916280488967351,0.4041910166781094,0.39949035559925883,0.37528033439702113,0.6239307573138729,0.665424698309253,0.47176002693143776,0.556580129361008,0.6408360096226976,0.45480135667820853,0.68131509319367,0.5825680584008287
BEL,0.787035071171633,0.6312768831866322,0.5553486131186537,0.44433162121922787,0.3707842207603963,0.0,0.6406160813533442,0.4052913504779346,0.5723691370686822,0.4820351956008004,0.9064768951423554,0.4681340757950298,0.4798020878105914,0.4857053783083976,0.6033879839730308,0.628968991827753,0.6703125747979837,0.7756220501720041,0.525380722994425,0.46765757614644266,0.5735824135469926,0.4335400554769915,0.38719447378226407,0.48717496262767895,0.6715923599873561,0.34277809136259013,0.47846378860036887,0.4456863310477656,0.3623989023008427,0.35456451593135724,0.5688606611550916,0.6447172348157648,0.4485757040164699,0.40747815752663885,0.6935171786611701,0.5961863718433307,0.7221595247457046,0.560717429897766,0.4701191792287048,0.3793958477330165,0.5974255776230508,0.5028215226171749,0.6977087657486913,0.7894302120308084,0.5296204911980542,0.7910978656599639,0.5187131691650778,0.7041568916303395,0.4991320400308224,0.6510209784324518,0.5616323430481434,0.6846259084169971,0.7726060649545423,0.6353674474156022,0.717881025323636,0.34502799158532166,0.5005249228077457,0.4435084843725904,0.615756198480599,0.5347044094653944,0.6316464012289115,0.4064592026075524,0.383073706526882,0.5081971314274853,0.5224333547951362,0.6565169415441224,0.5756469056839387,0.6136958433138073,0.7808395254042998,0.47700728278344856,0.3928759990385372,0.4354055285476138,0.6558660859793612,0.6655711429950663,0.5163588631161313,0.5834205467238189,0.6323835127563558,0.4563759777958595,0.684827562606603,0.5688805153829576
BGD,0.7415792421057326,0.743648617088958,0.6246231161158385,0.6343233794345203,0.6547590266706856,0.6406160813533442,0.0,0.6270452474298074,0.5276501883105315,0.6353446374169179,0.937424831016283,0.6501805479257281,0.6984441917828293,0.6314340906068121,0.5934416628235891,0.6300637417157776,0.6192400918618293,0.7567267766185124,0.6146872303650354,0.6248355947646509,0.7027399338126193,0.664950026633319,0.6828066664737664,0.651351735803604,0.6597656309647546,0.6185656383833217,0.6320007234337025,0.6798779990286551,0.65123076109366,0.6609898914688915,0.6508065165288613,0.7289544322124144,0.6136273419519381,0.6168990575150265,0.6571787264972491,0.6183988484277805,0.7919284461360886,0.6526851158028868,0.6557696376609516,0.6238726311296687,0.6632312609937536,0.6854383864476226,0.7070375884020789,0.6833646358364068,0.6752968386914731,0.6730252000033579,0.6483248979712368,0.8019382386222966,0.6489118588686109,0.5867943137596049,0.666336360004667,0.7640463511180671,0.5713560063636257,0.7046067881184375,0.6634839501029418,0.6503784261184166,0.6480943955205175,0.6080889285780057,0.5021206417440137,0.6011342114658805,0.6540807919961901,0.6230138013539963,0.5932925684164236,0.6231938650346225,0.6425981201207167,0.7038000053612108,0.5964229376914469,0.7710464127425852,0.7790201821289632,0.7038636898682801,0.6546811570237399,0.6871791784193311,0.6336416476620811,0.5821035380960407,0.5134750141337,0.6978666577624116,0.6498054635746393,0.690561566648928,0.6023406834337881,0.6912738865440037
BGR,0.7759464274352432,0.645584214424636,0.5759950446935952,0.48233282504570124,0.43056830141233554,0.4052913504779346,0.6270452474298074,0.0,0.5598308845045011,0.499192641402008,0.9099138731159901,0.5073123956265052,0.5510966966523735,0.5248536957683012,0.5847656784975319,0.592856975780269,0.6665910983634138,0.755235894563132,0.5419447744019247,0.5254304385790299,0.638383344747478,0.4369266561591405,0.46050196018609085,0.559943334908407,0.646850127070904,0.39540117306011907,0.4755445568592901,0.48193601518129553,0.4554206992604783,0.4591307926719406,0.5865814974612993,0.6656912975008266,0.47046859392832385,0.4272184646392925,0.6644052393302025,0.5569690367809706,0.7713146604256809,0.5984066927251354,0.5272351799729975,0.39833096784675254,0.5620775241908776,0.5188475378289963,0.6805671739467121,0.7432778109638173,0.5537036461611793,0.7528106634814017,0.48773192053427405,0.7385371931781751,0.48956082892374814,0.6517789555427534,0.5615510970942468,0.6770446644813121,0.7556207518325032,0.621796991794135,0.6967884542726057,0.46143206263585224,0.5589614184520901,0.4910074481527192,0.6047193571054628,0.547886479765102,0.6208909821484921,0.3654908514443809,0.42196067809575305,0.4974895101751547,0.5015424163199056,0.6683775358604951,0.5855805792393629,0.6840262586337462,0.7897821870545559,0.4584244927639083,0.42288675717330626,0.45704169627910896,0.6286885320461997,0.6450033268940827,0.47855753599467976,0.5868346370642614,0.558114791767277,0.5289909185260291,0.6467880333511863,0.5630357494492549
BLR,0.7162687308104311,0.6544946035579092,0.4962849721529052,0.6274901470967532,0.5702649658585107,0.5723691370686822,0.5276501883105315,0.5598308845045011,0.0,0.49805427638835753,0.902733037366748,0.5846143648477736,0.6355881173430692,0.591189785535462,0.48110164705942204,0.539968107886721,0.5854711308460983,0.7346708592040228,0.5326413536780595,0.5671578489320594,0.6924357671796227,0.582968241328931,0.5943373781052336,0.5987813328764614,0.5658303742744213,0.5113691717533049,0.6015995659072244,0.579007733606194,0.594899332900937,0.617124160637997,0.5569181755318442,0.7405842578535878,0.5453015024838918,0.4805335747685012,0.5302505122043547,0.5268011842075503,0.7431509517514279,0.6576742248641344,0.6083498993613733,0.538210966715226,0.5311244759627015,0.5653327102803197,0.71723038213864,0.7283376115332119,0.5430897191524529,0.6331303337588231,0.5453167235427375,0.8136748211978753,0.6266573394932113,0.4714444060049286,0.5264284532147886,0.7613793987893368,0.5566208262385325,0.573736413681724,0.6666892339656251,0.5903857153742855,0.6389828358472126,0.5642151566986557,0.39653256264363285,0.5306586200787333,0.5211119705775062,0.5031385249153105,0.4994332004197255,0.5419058038315334,0.5281561814851491,0.6682006000623191,0.559290937368241,0.7138711783398729,0.8020323834008087,0.616227788837717,0.6192939470002733,0.6137077266933177,0.4825384624885453,0.5969525519730988,0.42073701029652827,0.5677090268488527,0.5551383088832788,0.6344575247575299,0.5342672184652906,0.6116890663348893
BRA,0.7307188696798064,0.6024657234223464,0.4373645263619088,0.5295487917094812,0.5041700803695526,0.4820351956008004,0.6353446374169179,0.499192641402008,0.49805427638835753,0.0,0.866038340185671,0.471046038445363,0.5735424694005168,0.5262808335232775,0.5224947208502132,0.5708249378530835,0.6148153822358102,0.7140647587109684,0.4585902966115095,0.5066678481036486,0.7183337112581717,0.5381719833541134,0.5154004178857219,0.583404079901439,0.6069704490779402,0.4586800076653429,0.5833103440357993,0.5317218012888837,0.4976499810335758,0.5203287403043805,0.5919108178730532,0.7049719402124716,0.5257553518260788,0.44038372150835997,0.5474523480671891,0.5373217361372575,0.7487801832180317,0.6355513864937777,0.5552568937332217,0.46107494543189603,0.5664904479088515,0.49638431954913326,0.6410541166531768,0.7778567672539733,0.5126046509282906,0.7171771507277036,0.5562012272346324,0.7851483437264449,0.6124601777108049,0.5668075962759894,0.4518262706714479,0.7514089926694976,0.6978902596655804,0.538003703881532,0.6955433930891797,0.48529737708320675,0.6080573968129908,0.5380139121548865,0.5028817422600382,0.45456780532141844,0.5702674292710356,0.4738104300137412,0.4490160058298254,0.49557451460727947,0.47150005469936757,0.6009457624776632,0.5726907319012133,0.7024152194260115,0.7946411918932298,0.5302569426472377,0.5421449793814218,0.5577847539075315,0.5305279861611408,0.6049907605443983,0.47012784169375926,0.5643067761210816,0.5670412424861865,0.5086648550219828,0.608057657053988,0.5142890109164396
BRN,0.8670980441151273,0.7507818504857424,0.9165257757204255,0.9083866478679612,0.9282058610015242,0.9064768951423554,0.937424831016283,0.9099138731159901,0.902733037366748,0.866038340185671,0.0,0.8899822406171141,0.9438400783381867,0.9240249442497999,0.9200930861993115,0.8842228985863623,0.8852551884710083,0.9581582570889177,0.8516244712291637,0.9187017920319186,0.9425040312275347,0.9426536703631543,0.9239320076768642,0.91858149655652,0.9142576797086782,0.9185418265063059,0.9214390531585929,0.8972179450668433,0.9253920890485007,0.9165207779895114,0.8960759217693306,0.9460629058448641,0.9022519859758508,0.9119466767598235,0.8660523692597738,0.9053892062835314,0.923735893521682,0.9446940521295848,0.8879892623831608,0.9153635983639679,0.8816710530980244,0.9191727742313938,0.9133598292806139,0.9558532078366819,0.9223361496564072,0.9012857919277331,0.9084818979975067,0.9612814349961044,0.9384316894265481,0.9415466827078701,0.8939314028661458,0.9547123231704531,0.9121392073019225,0.8580994245458712,0.9502760239031728,0.9205395658748423,0.9059629381302197,0.9179245860019819,0.906929111250134,0.8982661380810928,0.9022161181890667,0.9104413324704289,0.9090512043385638,0.9136088642379998,0.867444096229395,0.8585281767632849,0.9180303421441057,0.915128771740822,0.9522200971522025,0.9229396445829063,0.9452361342044602,0.9211777257179532,0.909724007598597,0.9327313556049536,0.9180038450455523,0.9235417880155878,0.9201132837859196,0.906375867372455,0.8992118428562892,0.8757344648293275
CAN,0.7222626373949428,0.6355574521527217,0.5369706776434308,0.4489605067751824,0.45610150567292523,0.4681340757950298,0.6501805479257281,0.5073123956265052,0.5846143648477736,0.471046038445363,0.8899822406171141,0.0,0.5690783837330053,0.5045728508255107,0.5933146604854189,0.619412423544875,0.6214089608947247,0.7335572799927641,0.5170846827668643,0.5074116605362636,0.6743419393283885,0.5022242622972137,0.46041299907272737,0.5402280127755624,0.6598066292340822,0.4503723328279411,0.4902969230722837,0.46852830166626186,0.45266300265256293,0.4498326037940924,0.5794393063269817,0.6734104947031457,0.5042879479837775,0.436853341864196,0.619335494428687,0.583794652595287,0.7567504179223791,0.5937348377970381,0.48838549788924673,0.46387827895036987,0.590640622685174,0.5148537665902672,0.605292073992373,0.7960214164702185,0.542365018005187,0.736903185070666,0.5368400078628478,0.7187296993472958,0.5690977130775952,0.6156899613048511,0.5119568325692584,0.7280458642558236,0.7380314133448356,0.5894329000537286,0.6879753740043043,0.4396441406214176,0.5065610361732328,0.47608904545268355,0.583366914528816,0.490168694746338,0.6283402068756245,0.4682320218151765,0.4722809413971342,0.5069855060407218,0.500317999427565,0.6236200370375705,0.6002350143449383,0.6974371506680231,0.7458788739312167,0.5548117538568721,0.5192619483524453,0.45026640112014105,0.6209006283864338,0.6165682245176144,0.5363649745077369,0.5943273817842427,0.6116179502235151,0.3566977263072866,0.6840888823637663,0.5085910566601233
CHE,0.7969042455980868,0.6989313694130255,0.628932427025179,0.550092486630132,0.45966899040674014,0.4798020878105914,0.6984441917828293,0.5510966966523735,0.6355881173430692,0.5735424694005168,0.9438400783381867,0.5690783837330053,0.0,0.5272676313592837,0.6327316405805997,0.6990296159614545,0.7159228637979804,0.8040195436903793,0.6197958231786345,0.5483213168000802,0.6477932476164601,0.5193681042863187,0.5031920829022012,0.49166306923705044,0.7473349352101577,0.5062016956615146,0.5385459226634232,0.5417199568649175,0.4824483749953643,0.47188567810515664,0.6056082330352209,0.6364027287728128,0.5374593561419714,0.5147413372636314,0.7140227115043356,0.6899194362322087,0.6715269301979144,0.6062909686913263,0.5045551623806448,0.4960392364599649,0.6746371255647089,0.5698491439754098,0.7211001607865646,0.8464443182208421,0.5769296419010785,0.7814702399752473,0.6030261874627713,0.7383202221060002,0.5654489301342389,0.7027330704184173,0.6276585946173242,0.6531063366623883,0.8054205301032478,0.692356086916495,0.7414173370994515,0.46028619342676713,0.5675308269110295,0.5502565823887249,0.6408644560579018,0.630483305019478,0.6574183988611487,0.5495164844440745,0.5108188620585953,0.5870414356852471,0.6135161052275933,0.7176774978538868,0.6566408731421113,0.5919895630102704,0.812536562971197,0.5532789766056067,0.5176342184275451,0.5150121738633924,0.6719568685478018,0.6973787037258805,0.60319123485054,0.6099720054326836,0.6747979148029208,0.5379244155656385,0.7022371549040597,0.645505877951949
CHL,0.7665398489491788,0.6914715508740626,0.5620782956298693,0.4768033476399637,0.5101201141196436,0.4857053783083976,0.6314340906068121,0.5248536957683012,0.591189785535462,0.5262808335232775,0.9240249442497999,0.5045728508255107,0.5272676313592837,0.0,0.6168434797869512,0.613870952770587,0.6462364211079674,0.6873601207791953,0.5581545008595746,0.502252664987628,0.6486631540423803,0.5567081401086792,0.5457682382780727,0.5700237249661863,0.692191427956798,0.49189493762313635,0.5306978003863281,0.5164026313338975,0.4866330748974646,0.4889794829633659,0.600075757283387,0.6819226412453256,0.5207741778077631,0.5108589172592457,0.6574888306991241,0.638765194636065,0.7544937936610725,0.5809613354573778,0.5244745186273071,0.5191944528730016,0.6312736703598052,0.6024214720431036,0.648376112108497,0.8079744014332646,0.6073055524739305,0.7090803071800291,0.5446239908747355,0.7356038639330079,0.5484920059458464,0.6323262156316382,0.5748255253978728,0.7047913606432777,0.730407814301947,0.6500217899178558,0.6884026410074443,0.4780868741993943,0.5508097456189384,0.4771149946818532,0.6182636809818463,0.4964927679004558,0.594098785874468,0.4983199985342709,0.48113582239418784,0.5632926998875311,0.5843699806489273,0.6885015706033766,0.50278772138031,0.6838026419728148,0.7693464097939943,0.5967713754829995,0.5601630100758451,0.5364242889800038,0.6520447193783547,0.6406795959298532,0.5606894162444965,0.6441057048363767,0.6333656695691978,0.5197262390315354,0.6017266148783971,0.5651593030648927
CHN,0.7716334346477868,0.6970578913008855,0.5314204955845677,0.6325122700348752,0.5677311572341367,0.6033879839730308,0.5934416628235891,0.5847656784975319,0.48110164705942204,0.5224947208502132,0.9200930861993115,0.5933146604854189,0.6327316405805997,0.6168434797869512,0.0,0.6345663298840966,0.6669172435653806,0.7697303889145318,0.5888278349184536,0.6681814384998069,0.7492378876386566,0.5643661964758987,0.5926958098265022,0.6481489052623718,0.5985858697299935,0.5700083103562517,0.6330835232321368,0.5792698221231554,0.6350365893169952,0.645900269381572,0.6656048615129501,0.800572858661355,0.6125177325613355,0.5313736310579659,0.5371656460173656,0.5009569284261836,0.7768580819578006,0.7030181518083716,0.6272216541885186,0.5513398007094626,0.6017044786807026,0.5304078522689488,0.7272957520055747,0.7509806106383531,0.44611247128284937,0.7279143516683518,0.6437786034951094,0.8307023458593099,0.6856894978498123,0.5795375858886028,0.5061105249371719,0.7566377321176349,0.6549007151438253,0.5908827347800698,0.7387527886400077,0.6213629883919435,0.6702066818619827,0.6265649648533802,0.5231305810151313,0.5757430273163072,0.6345511358462419,0.5581128932400503,0.5720619640870552,0.5651378910159077,0.5526108471488551,0.6951816136753065,0.6149316356083442,0.7177895138030753,0.857399050972054,0.6182277104999527,0.6064983784573282,0.615025146684136,0.48884969616598994,0.6277791129296789,0.45488601873618795,0.498144882911677,0.609224199135131,0.6367455868821281,0.5269997081389248,0.621354916390053
CIV,0.7736536627569183,0.719825741665281,0.6026207059797496,0.6499746232733501,0.657476489508995,0.628968991827753,0.6300637417157776,0.592856975780269,0.539968107886721,0.5708249378530835,0.8842228985863623,0.619412423544875,0.6990296159614545,0.613870952770587,0.6345663298840966,0.0,0.5815899094140382,0.7366240323539028,0.5890436609254727,0.6114539224327661,0.7342272318555648,0.6755082478915937,0.6638006101254298,0.6784900621489657,0.645304402169332,0.5991437561780358,0.5944605197169438,0.6409619863531103,0.651868863148242,0.6776347192887204,0.6461055403853234,0.7939523512816821,0.6132394356052656,0.5803919982890202,0.6063076292206474,0.6243032591234001,0.7719648590875924,0.693273363932953,0.651402528620032,0.6190811751095964,0.6141370505948032,0.6725291663649859,0.718422782776063,0.7706488152297982,0.6753367459282806,0.7118935663335466,0.5747675419598657,0.8400250288990873,0.6233264310112946,0.5734490872300003,0.6212131451257564,0.8094612928652984,0.6890932926375939,0.6362027879795853,0.6926410946018505,0.6468501714765689,0.690058203635797,0.6111685363471483,0.5982535377251282,0.5605769169250016,0.5786559539127483,0.5687664638289539,0.5824908796632408,0.607227499739021,0.6084839287343671,0.7037520401256402,0.5697436769427182,0.7753516735807673,0.82481522335452,0.6866213287321973,0.6783868032310901,0.6600851023311538,0.6316179829741682,0.6164253215996706,0.5809355749134887,0.7044472457426207,0.6145752354839764,0.6695166522962621,0.6395883920999971,0.6321098592708582
CMR,0.7457103823238512,0.721442554204169,0.6154534041832259,0.6480512944382123,0.6935369277044238,0.6703125747979837,0.6192400918618293,0.6665910983634138,0.5854711308460983,0.6148153822358102,0.8852551884710083,0.6214089608947247,0.7159228637979804,0.6462364211079674,0.6669172435653806,0.5815899094140382,0.0,0.7437232291961251,0.5807859864023657,0.609417327888357,0.7186926200012377,0.7092120384853167,0.7209213268347098,0.6797797769742504,0.6796789739246429,0.6398355834899605,0.6360734774970348,0.6860716899088791,0.6826281181396214,0.6808225853448912,0.6412993643577821,0.7677005931336064,0.6303570314800587,0.6438748401508358,0.6223944945469674,0.682138702368083,0.8046275854602308,0.6986114228826517,0.6955975145718464,0.658692814652845,0.6450800858169643,0.7026077835836823,0.6818959312580555,0.7495194438712366,0.7169231959261276,0.6798812518929466,0.6230994896746053,0.8591317687567753,0.6753919533470832,0.6450694019855072,0.6645196036155704,0.8054949173811753,0.6873444375923224,0.6653546691165784,0.7011956930493599,0.6717071279665975,0.676166193571907,0.6303176301641318,0.5921446942078027,0.5733900911646042,0.6400044755848031,0.6407521975598083,0.6280917980825088,0.6362089240213289,0.652372405884927,0.6788115095630406,0.5917778725357989,0.790298396413522,0.7964809565247603,0.7324759013063104,0.7074138145000082,0.7018785425583526,0.6533094566594708,0.5745654026921665,0.6164584706391341,0.7491028718149706,0.6500345611618858,0.6881748406251379,0.6718804670765336,0.6723839472180554
