country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,ESP,ESP,ESP,ESP,ESP,CHN,FRA,ESP,CHN,BRA,NLD,NLD,NLD,NLD,FRA,NGA,NLD,ESP,ESP,ESP,ESP,ESP,ZAF,ESP,AGO,ZAF,ZAF,ZAF
ARE,IND,ARE,IND,KOR,IND,NLD,IND,IND,KOR,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,TWN,SGP,SGP,HKG,SGP,IND,IND,IND
ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,BRA,BRA,BRA,ARG,CHL,BRA,BRA,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG,ARG
AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS
AUT,AUT,AUT,AUT,AUT,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,POL,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
BEL,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,GBR,GBR,GBR,GBR,GBR,GBR,GBR,NLD
BGD,PAK,BGD,BGD,BGD,PAK,BGD,PAK,PAK,PAK,BGD,BGD,PAK,BGD,PAK,PAK,BGD,PAK,PAK,PAK,PAK,PAK,BGD,BGD,BGD,BGD,BGD,BGD,BGD
BGR,RUS,RUS,RUS,RUS,POL,POL,RUS,GRC,GRC,GRC,GRC,GRC,GRC,GRC,RUS,GRC,TUR,TUR,TUR,TUR,RUS,RUS,TUR,SAU,SAU,DEU,RUS,RUS
BLR,RUS,RUS,RUS,RUS,POL,POL,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS
BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA
BRN,TWN,TWN,TWN,TWN,TWN,BRN,BRN,BRN,BRN,IDN,TWN,IDN,IDN,IDN,JPN,BRN,KOR,BRN,IDN,JPN,TWN,JPN,SGP,HKG,SGP,TWN,SGP,SGP
CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN
CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,CHE
CHL,ARG,ARG,ARG,ARG,ARG,ARG,ARG,BRA,BRA,BRA,ARG,CHL,CHL,CHL,ARG,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,ARG,ARG,ARG
CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN
CIV,NGA,NGA,NGA,NGA,NGA,FRA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA
CMR,NGA,NGA,FRA,NGA,NGA,FRA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,CMR,CMR,NGA,CMR,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,CMR,NGA,NGA
COD,ZAF,ZAF,ZAF,ZAF,SWE,SWE,SWE,SWE,SWE,SWE,SWE,IND,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,KOR,ZAF,ZAF,ZAF,ZAF,ZAF
COL,PER,PER,COL,COL,COL,COL,COL,COL,COL,COL,COL,CHL,CHL,CHL,COL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,COL,COL,COL
CRI,CRI,MEX,COL,COL,COL,COL,COL,COL,COL,COL,COL,CHL,CHL,CHL,COL,CHL,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,CRI,COL,COL
CYP,RUS,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,TUR,TUR,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS
CZE,AUT,AUT,AUT,AUT,POL,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,POL,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
DNK,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,NLD
EGY,ROU,GRC,GRC,GRC,GRC,EGY,EGY,EGY,EGY,EGY,EGY,IND,IND,ISR,EGY,EGY,EGY,EGY,EGY,EGY,EGY,EGY,TUR,SAU,SAU,EGY,EGY,EGY
ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP
EST,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,NLD
FIN,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,NLD
FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA
GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR
GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,GRC,TUR,TUR,TUR,TUR,RUS,RUS,TUR,SAU,SAU,RUS,RUS,RUS
HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,IDN,IDN,HKG,HKG,IDN,TWN,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG,HKG
HRV,AUT,AUT,AUT,AUT,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,HRV,POL,HRV,HRV,HRV,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
HUN,AUT,AUT,AUT,AUT,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,POL,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
IDN,IDN,IDN,IDN,TWN,TWN,TWN,TWN,TWN,IDN,IDN,TWN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN,IDN
IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND,IND
IRL,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR
ISL,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,NLD
ISR,NLD,ISR,ISR,ISR,ISR,POL,TUR,TUR,TUR,TUR,NLD,NLD,NLD,ISR,EGY,EGY,EGY,EGY,ISR,ISR,ISR,ISR,ISR,ISR,ISR,TUR,ISR,ISR
ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA
JOR,ROU,GRC,KOR,GRC,IND,EGY,TUR,EGY,KOR,KOR,TWN,IND,IND,IND,IND,KOR,KOR,KOR,IND,KOR,TUR,IND,TUR,SAU,SAU,SAU,IND,IND
JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN,JPN
KAZ,RUS,RUS,RUS,RUS,POL,POL,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,TUR,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS
KHM,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,IDN,IDN,TWN,IDN,IDN,IDN,HKG,HKG,IDN,TWN,IDN,IDN,TWN,KOR,KOR,KOR,KOR,KOR,KOR,KOR
KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR,KOR
LAO,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,IDN,IDN,TWN,IDN,IDN,IDN,HKG,HKG,IDN,TWN,IDN,IDN,TWN,SGP,SGP,HKG,SGP,THA,SGP,SGP
LTU,RUS,RUS,RUS,RUS,POL,POL,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,SWE,SWE,SWE,SWE,SWE,SWE,SWE,NLD
LUX,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,DEU,DEU,NLD,DEU,NLD,DEU,DEU,DEU,DEU,GBR,GBR,GBR,GBR,GBR,GBR,GBR,DEU
LVA,RUS,RUS,RUS,RUS,POL,POL,RUS,RUS,RUS,RUS,RUS,RUS,SWE,RUS,SWE,SWE,SWE,RUS,SWE,RUS,SWE,SWE,SWE,SWE,SWE,SWE,SWE,NLD
MAR,MAR,MAR,FRA,FRA,FRA,FRA,FRA,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP,ESP
MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX
MLT,ITA,MLT,MLT,MLT,TUR,MLT,MLT,TUR,MLT,TUR,EGY,MLT,MLT,MLT,GRC,GRC,MLT,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR,GBR
MMR,TWN,MMR,MMR,MMR,TWN,TWN,TWN,TWN,PAK,BGD,TWN,IDN,IDN,IDN,MMR,MMR,MMR,MMR,MMR,MMR,MMR,MMR,MMR,MMR,SGP,THA,SGP,SGP
MYS,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,IDN,IDN,TWN,IDN,IDN,IDN,HKG,HKG,IDN,TWN,IDN,IDN,TWN,SGP,SGP,HKG,SGP,TWN,SGP,SGP
NGA,NGA,NGA,NGA,NGA,NGA,ESP,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA,NGA
NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,NLD,GBR,GBR,GBR,GBR,GBR,GBR,GBR,NLD
NOR,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,NLD
NZL,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,NZL,NZL,AUS
PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK,PAK
PER,PER,PER,COL,COL,COL,COL,COL,COL,COL,COL,ARG,CHL,CHL,CHL,COL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,CHL,COL,COL,ARG
PHL,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,IDN,IDN,TWN,IDN,IDN,IDN,HKG,HKG,PHL,PHL,PHL,PHL,TWN,SGP,SGP,HKG,SGP,TWN,SGP,SGP
POL,POL,POL,POL,RUS,POL,POL,RUS,RUS,RUS,RUS,RUS,POL,POL,POL,POL,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU,DEU
