,community,year,national,regional,external_out,external_in
0,AGO,2019,27913.766299999974,0.0,9521.603300000199,4549.796100001923
1,ARE,1996,39504.103600000024,0.0,11775.429799993575,12083.869799997248
2,ARG,1995,209922.09420000002,1306.8494999999975,22146.513800003708,14198.158699994447
3,ARG,1996,221406.87120000052,1215.9017999999887,23162.20780000117,16253.018499993721
4,ARG,1997,236357.6231999998,1391.9662999999925,24668.69930000133,19091.220699990867
5,ARG,1998,234673.92420000053,1863.7954999999904,23799.973700001778,18974.567799990255
6,ARG,1999,218210.66690000007,1753.328599999981,23596.53070000203,16590.641699992997
7,ARG,2000,221304.74790000057,1997.2328999999852,26940.424700000152,18541.446399990196
8,ARG,2001,207959.45750000057,2339.9101000000037,25898.322300002317,16973.24729999233
9,ARG,2005,289500.6257000011,5225.372300000239,62324.46999993283,37464.4475999996
10,ARG,2009,356696.9309000005,3527.744800000047,64339.14179996411,44397.59319998475
11,ARG,2010,290666.9578000001,0.0,31974.057800000282,31682.779100000193
12,ARG,2011,358042.60850000073,0.0,37530.53749999394,41736.07989999515
13,ARG,2012,393101.1629999996,0.0,37398.85689999594,39197.07480000052
14,ARG,2013,408986.3408999999,0.0,35210.30969999822,41004.83939999905
15,ARG,2014,377948.77910000115,0.0,30060.420999999566,35385.54129999925
16,ARG,2015,423086.14730000054,0.0,24730.67639999517,33344.12429999926
17,ARG,2016,362747.9879999994,0.0,26224.29289999809,29487.02300000007
18,ARG,2017,413579.2768999994,0.0,26851.171899995737,34213.010399999475
19,ARG,2018,347692.5835999998,0.0,29745.843499999475,32665.90060000047
20,ARG,2019,298305.36230000015,0.0,32473.203500000203,26834.409299998806
21,ARG,2020,406080.05890000134,2138.580299999994,55325.45799996739,49314.59699997175
22,ARG,2021,543534.152699999,3220.8768000000437,111871.71100001724,74520.32389995144
23,ARG,2022,759174.588500002,7959.125100000224,147370.67710015376,123449.03510000379
24,AUS,1995,358220.93090000236,4173.835900000022,41098.59089994894,34297.6840000002
25,AUS,1996,401560.42450000084,4524.689400000025,46836.71989994865,37265.768000000004
26,AUS,1997,402947.33400000125,4377.1721000000225,47656.95629994776,38108.2938999995
27,AUS,1998,361208.71929999825,3682.0895000000137,41943.03799994639,35601.58829999984
28,AUS,1999,395329.9647000007,3843.442400000008,44154.28189994605,39825.43370000043
29,AUS,2000,385989.2112999991,3695.391500000004,47059.98069994453,39184.8208999989
30,AUS,2001,378685.58689999953,3411.2566000000106,46225.03149994621,35612.16629999995
31,AUS,2002,433925.4098999989,3587.719000000001,45722.96529994486,39244.34169999911
32,AUS,2003,560483.9088999995,4208.045800000016,53702.345499938485,47955.954199991764
33,AUS,2004,685557.533799999,5024.540300000025,66976.65699996066,59382.65949996561
34,AUS,2005,767100.5516000008,5516.308900000021,86103.53050000899,71061.69739996697
35,AUS,2006,815675.5381000007,5361.240700000021,99525.74110001925,77064.536099967
36,AUS,2007,969826.2401999995,6710.560700000015,125853.92420001859,95194.33449997513
37,AUS,2008,1035105.9965999981,6738.610900000009,151358.9154002785,104267.48899998766
38,AUS,2009,1007548.8769000008,6369.156299999991,141475.06570025344,100273.17539998642
39,AUS,2010,1235136.9446000052,6869.094700000021,175826.03590032962,112726.84080000655
40,AUS,2011,1454540.5166000011,8135.885300000017,236223.9066003818,140625.6428000061
41,AUS,2012,1501308.523899999,8658.48450000001,236858.9324003801,149545.04320000575
42,AUS,2013,1441595.5732999947,8348.29799999999,224842.92290037515,142552.27900000478
43,AUS,2014,1377041.6725999997,7955.679600000047,216327.73990034944,142708.4197000015
44,AUS,2015,1177930.3248999978,6275.288000000015,167083.25340029222,116784.37519999953
45,AUS,2016,1216973.0157999934,6548.219100000033,169524.96460028773,111678.82109999988
46,AUS,2017,1322223.2916999974,7014.646400000018,206292.9899003332,123835.22329999213
47,AUS,2018,1358410.9093000006,7368.940500000011,234858.76590038234,134384.55810000564
48,AUS,2019,1322880.9875000028,7657.797200000012,241953.24370038445,130622.46489999598
49,AUS,2020,1175276.0120999983,301.17530000000005,232614.37290016297,111237.382899995
50,AUS,2021,1387728.9062000015,262.9645999999997,309485.60090023023,136040.9435000029
51,AUS,2022,1613478.836199996,8673.395100000056,366024.6012006183,178143.94180005087
52,AUT,1995,290234.0263000007,11331.422899999941,55222.129899826214,60154.47669988267
53,AUT,1996,294913.916900002,11585.012899999529,56417.85729980001,64294.01479988726
54,AUT,1997,277995.04380000045,11754.60449999948,55791.05639981688,64451.61319988455
55,AUT,1998,285799.8949000019,11783.719399999281,61267.11339979936,69917.02339989052
56,BGD,1996,20446.363500000018,0.0,1117.6572999994848,2820.9644000004623
57,BGD,1997,21440.00549999996,0.0,1082.2382999994788,2824.863100000769
58,BGD,1998,22360.559300000008,0.0,1133.722199999464,3161.700200001199
59,BGD,2000,24080.75629999999,0.0,1440.5400999993462,3261.047400000902
60,BGD,2004,38312.61359999998,19.857599999999806,3016.816800001819,4356.5778000031205
61,BGD,2005,31439.631799999996,0.0,2217.2182999997954,4358.4058000016485
62,BGD,2007,42559.26600000001,0.0,3107.1017000011657,5667.591800002304
63,BGD,2010,61576.14019999993,0.0,3945.5085000029976,9609.197300002057
64,BGD,2016,128402.08739999983,0.0,7229.52040000507,21090.488299999062
65,BGD,2017,146981.51499999978,0.0,7681.542700005036,20745.410299999236
66,BGD,2018,166750.63989999963,0.0,8632.56200000261,24896.633199999615
67,BGD,2019,192156.01049999983,0.0,10329.301600001243,29327.97149999981
68,BGD,2020,236451.42500000075,0.0,9287.240800002355,28607.93479999967
69,BGD,2021,279904.03160000034,0.0,8602.99870000186,29718.538499999675
70,BGD,2022,294807.78090000054,0.0,10579.143200001612,37233.89349999685
71,BRA,1995,526665.1970000005,0.0,27349.134999999165,28941.02969999901
72,BRA,1996,557019.1480999992,0.0,26551.546100000785,29305.653499998418
73,BRA,1997,574519.8808999982,0.0,27507.23570000093,34453.71229999914
74,BRA,1998,552222.6873000001,0.0,27039.757300000067,33866.21109999956
75,BRA,1999,387846.9103000014,0.0,25283.223599999994,30507.390199998667
76,BRA,2000,503319.7170000006,0.0,30310.71760000093,38593.44339999957
77,BRA,2001,433928.62010000035,0.0,29736.529400000592,38979.67119999993
78,BRA,2002,528524.5213999996,7730.850700000247,51964.83979995342,41182.507299997495
79,BRA,2003,630685.6332000002,9466.286399999788,63217.59239994644,45257.173399991545
80,BRA,2004,775461.8018999967,12656.211099999698,84447.25199999209,63561.560399947084
81,BRA,2005,767882.3743000014,0.0,64156.52529997969,52435.015199990594
82,BRA,2006,919835.4311999982,0.0,77147.94779999567,64704.89799998434
83,BRA,2007,1342616.7718000002,11890.018799999942,107104.40989999869,95817.5900999818
84,BRA,2008,1636897.6251999987,14767.364299999987,135064.1488000278,135914.19240001237
85,BRA,2009,1286787.263599997,0.0,86820.33249999359,89928.84939998841
86,BRA,2010,1623872.012399999,0.0,127553.20940000261,129099.01210000129
87,BRA,2011,1921182.3725999985,0.0,172241.14870006748,159766.32580000383
88,BRA,2012,1817047.6575000011,0.0,158600.06080006415,160664.8920000041
89,BRA,2013,1807668.746699999,0.0,151686.12930006356,168224.26290001217
90,BRA,2014,1799691.017599997,0.0,144130.67120002912,163379.50570000397
91,BRA,2015,1304737.6081000024,0.0,117214.76909999947,124462.47140000018
92,BRA,2016,1271861.031300001,0.0,112135.9079999987,106702.13769999165
93,BRA,2017,1453271.8782999967,0.0,137181.5426000288,120094.77759999449
94,BRA,2018,1405533.2337000023,0.0,158029.8060000752,134747.4720000014
95,BRA,2019,1391812.8759999992,0.0,151082.94100007054,137263.79560000089
96,BRA,2020,1104016.8598000025,0.0,142342.97350003844,122706.43559999816
97,BRA,2021,1355781.796599997,0.0,192608.1993001057,165001.9473000079
98,BRA,2022,1679758.3411000005,0.0,237457.8439001292,208430.00780005698
99,BRN,2000,4363.668900000026,0.0,962.7115999998284,455.57369999996524
100,BRN,2001,4007.0816000000227,0.0,906.1038999998128,414.30089999996983
101,BRN,2002,4228.271700000029,0.0,981.1714999998228,390.40519999996405
102,BRN,2003,4667.05900000002,0.0,1121.5252999997967,453.57679999995906
103,BRN,2010,19227.701499999966,0.0,6158.58030000223,1809.910599999615
104,BRN,2012,15030.46069999999,0.0,2754.9174000013545,2290.5796999999197
105,CAN,1995,368842.5922999994,0.0,103713.86479999713,87904.02270000086
106,CAN,1996,386937.7244999992,17.536299999999994,112014.0213999972,101402.80539999818
107,CAN,1997,406781.7281999997,21.605799999999995,124826.65129999795,120749.58469999283
108,CAN,1998,381133.85579999996,23.6557,115044.11979999389,123955.22749999212
109,CAN,1999,407658.81800000044,0.0,120373.56859999406,132539.56669999385
110,CAN,2000,466588.18389999954,21.107299999999995,137229.1702000256,149150.26479998798
111,CAN,2001,475956.8428999998,0.0,133042.0230000199,139843.18519998583
112,CAN,2002,483774.90710000007,0.0,130478.13479999432,140229.5462999886
113,CAN,2003,563636.7159999997,0.0,149271.19080002638,156010.84839998587
114,CAN,2004,651884.1629000002,0.0,171535.04940006026,179921.26819999624
115,CAN,2005,779929.0533000007,0.0,241815.27550009906,189763.78329999672
116,CAN,2006,873676.4387000003,0.0,257415.13070009727,209241.4425000004
117,CAN,2007,966145.0825999982,0.0,279101.52190011984,228423.05650000184
118,CAN,2008,1018818.1261000002,0.0,316317.6999001493,235390.2813000034
119,CAN,2009,881172.1306999995,0.0,216506.56790007482,193049.96369999915
120,CAN,2010,1062390.9424999997,0.0,266381.9011001027,227767.93180000572
121,CAN,2011,1177311.9378000004,775.3607000000002,323697.40920013085,257607.6339999999
122,CAN,2012,1209789.6700999974,0.0,315147.2998001275,273423.64770000585
123,CAN,2013,1215797.7190000017,0.0,321265.11960014066,275347.159000009
124,CAN,2014,1179014.056800002,909.9091000000001,333961.1421001374,278147.1107000071
125,CAN,2015,1018642.3964999998,1039.0363000000007,267414.82110009284,250043.56880000283
126,CAN,2016,994409.4593000003,855.0369999999999,248088.37330007585,240451.50370000242
127,CAN,2017,1072207.3458000007,965.4741999999998,275632.891700101,254792.79999999824
128,CAN,2018,1115651.876399999,0.0,298492.16370012076,275222.11940000445
129,CAN,2019,1123967.1913999992,0.0,300644.01420011214,274953.276300007
130,CAN,2020,1070692.6591999975,0.0,264363.430300093,266795.6252000057
131,CAN,2021,1282108.5191,0.0,362573.9203001359,326251.14670005586
132,CAN,2022,1297343.9278000009,0.0,368941.10050010483,383670.0694000852
133,CHE,1995,297319.4886000003,0.0,54945.55729998845,50200.45599998161
134,CHE,1996,291386.62189999985,0.0,53141.46039998882,49546.13279998279
135,CHE,1997,251496.41200000033,0.0,52279.533399988184,47434.39749998364
136,CHE,1998,258629.65409999978,0.0,53731.24829998801,50161.43849998351
137,CHE,1999,254536.5511999998,0.0,55167.01129998784,50645.394299982916
138,CHE,2000,229106.1617999998,0.0,58435.93139998867,52343.89039998291
139,CHE,2001,233729.91070000012,0.0,57730.47669998853,52289.58099998364
140,CHE,2002,260684.90440000003,0.0,61134.02469998842,55905.136099979754
141,CHE,2003,301905.3070000003,0.0,70644.40869999654,63619.45079997924
142,CHE,2004,341120.9048999994,0.0,85482.96229998952,75833.62819998819
143,CHE,2005,353072.71959999984,0.0,87465.38679999145,80633.068999994
144,CHE,2006,370746.94229999883,148.69359999999998,96063.5651999938,89444.9603000043
145,CHE,2007,414578.4557000006,0.0,115339.62199999265,104045.22920000413
146,CHE,2008,494200.25840000017,0.0,129864.31139999317,117649.3767000056
147,CHE,2009,483439.81750000094,0.0,114837.38729999472,108278.61590000195
148,CHE,2010,508700.9662999993,0.0,131708.5177000111,119538.46760000619
149,CHE,2011,606041.7978,0.0,150380.98950002287,141076.60400001175
150,CHE,2012,585634.8458999991,0.0,151999.03440001837,140701.01290001237
151,CHE,2013,589968.7408000005,0.0,162923.93790002962,153580.6720000252
152,CHE,2014,614592.0017999999,0.0,159433.39470002174,149218.25100002327
153,CHE,2015,570356.0332999999,0.0,157361.0637000198,143652.04990001215
154,CHE,2016,550580.423300001,0.0,164044.79010002466,154942.10140001966
155,CHE,2017,573934.6622000008,0.0,168850.05180002336,165087.9373000388
156,CHE,2018,622895.4259000004,0.0,178120.64560002353,171184.27530005085
157,CHE,2019,631125.4229000009,0.0,175958.7236000228,171642.649500045
158,CHE,2020,612790.4860000003,0.0,172830.6923000265,179193.33320006586
159,CHE,2021,776381.4352,0.0,209364.6476000458,205409.96980008407
160,CHE,2022,844961.2772000027,1302.8389,227576.0042000528,223500.58710008548
161,CHL,2006,462103.71330000163,8747.007500000585,94029.62180003838,62178.62809992526
162,CHL,2007,353216.15240000194,5441.181400000403,87168.43739994885,58386.771199947005
163,CHL,2008,420286.5677000035,7289.19380000054,93654.49470001228,76066.78329993572
164,CHL,2010,477213.9271000058,6445.259800000505,109325.98640003588,70867.58509994342
165,CHL,2011,538241.8805000022,8279.106200000027,136581.61020009997,82697.57639993729
166,CHL,2012,582703.8812000018,7781.8824000002105,136751.31560009767,88573.65929993721
167,CHL,2013,605596.7914000005,6117.550200000124,136380.56120009613,90337.07699993793
168,CHL,2014,591239.6945000013,5321.901900000137,127128.49160000778,87665.8567999395
169,CHL,2015,515092.71530000144,4107.8046000000795,93887.53689998605,74651.836399945
170,CHL,2016,503990.0007000036,3963.331400000094,94860.27169997666,69459.70739995172
171,CHL,2017,545412.685800001,4482.368700000152,111493.92740000444,75708.0155999421
172,CHL,2018,576720.4612000004,5305.700400000154,123332.88680000346,84357.84859993852
173,CHL,2019,562500.7519000022,4968.784000000129,117939.9780000048,83954.25789993822
174,CHN,1995,1050771.072999997,0.0,51183.23079998805,74405.95239998297
175,CHN,1996,1209911.5461999986,0.0,57901.13079998583,86281.35139998472
176,CHN,1997,1330029.7503000002,0.0,71196.40909999174,92545.13539998815
177,CHN,1998,1461874.9343999992,0.0,72706.06379999127,95601.31719998801
178,CHN,1999,1572690.640500001,5.110999999999998,76625.7601999936,112885.56330000101
179,CHN,2000,1762350.8888000008,1910.9314999999824,101277.2455000062,144430.45910002638
180,CHN,2001,1820502.6124999984,0.0,96165.22330000448,154400.9222000118
181,CHN,2002,1834628.8162000035,0.0,116624.00800000384,183776.7977000172
182,CHN,2003,2163724.868100001,2333.9111000000626,168555.75560004453,251338.4589001208
183,CHN,2004,2710948.475699998,3984.739200000004,233676.2035000568,334297.79380009515
184,CHN,2005,3432641.9528000127,5626.648300000003,300175.9861000808,395712.3823000983
185,CHN,2006,4341153.874299994,9518.931499999977,376805.5284001109,447621.04380011035
186,CHN,2007,5819514.548199979,12387.882699999975,494426.4669000955,557819.9481001346
187,CHN,2008,7259372.44010001,20117.37490000002,635426.2373997635,708441.5712000807
188,CHN,2009,7961004.553699995,1880.1031999999998,441679.85080016934,584593.0817001375
189,CHN,2010,8876514.636300005,22433.67800000001,607698.3552998119,746816.5562000453
190,CHN,2011,11444677.866900021,26869.065000000013,787595.7652995469,1037795.0464998026
191,CHN,2012,13674673.915099995,30278.62260000001,813998.4934997921,1078457.2717998393
192,CHN,2013,15737996.22299999,6629.458400000005,840476.5093997649,1194067.1093997627
193,CHN,2014,17523688.752599996,7204.101200000006,925427.3660997895,1226754.7485998215
194,CHN,2015,19309793.141799964,4864.721700000003,894063.6595998236,1112189.1249998345
195,CHN,2016,17805614.6715,0.0,824386.0928998354,1072674.6076998618
196,CHN,2017,18193292.87579998,2468.419000000001,924896.8411998036,1240016.3947998271
197,CHN,2018,19949661.835699983,1080.1782000000003,1049116.4762998805,1410936.8337999047
198,CHN,2019,20577108.718200028,25404.042499999992,1085363.4076999389,1397750.8344998343
199,CHN,2020,21150671.582599968,53203.63249999996,1142129.962799973,1385731.219999793
200,CHN,2021,25558513.20370002,39432.283899999995,1504911.5176000898,1854008.5943999088
201,CHN,2022,25763293.577700067,41572.21419999996,1601094.9811000985,1844678.8473998914
202,CMR,2008,11165.9432,2.5570999999999997,3213.5917000010945,3686.710100001985
203,CMR,2009,12048.652400000023,0.0,3454.246200002067,2566.419700001302
204,CMR,2011,12477.24380000003,0.0,3523.488200001097,3556.699800000841
205,CMR,2020,15329.561900000024,0.0,3783.80690000236,2655.1533000002596
